"Source(x,y)","Target(x,y)"
"(-16677.93398, 146969.59971)","(-16496.69716, 147101.18544)"
"(-16677.93398, 146969.59971)","(-16586.15807, 146922.24105)"
"(-16677.93398, 146969.59971)","(-16453.70444, 147389.64412)"
"(-16496.69716, 147101.18544)","(-16423.33218, 147087.12701)"
"(-16496.69716, 147101.18544)","(-16677.93398, 146969.59971)"
"(-16496.69716, 147101.18544)","(-16474.97338, 147055.39671)"
"(-16199.17528, 147445.75311)","(-16152.48328, 147260.02681)"
"(-16199.17528, 147445.75311)","(-16199.17528, 147447.07591)"
"(-16199.17528, 147445.75311)","(-16136.94678, 147594.14871)"
"(-16199.17528, 147445.75311)","(-16453.70444, 147389.64412)"
"(-16199.17528, 147445.75311)","(-16063.65781, 147519.07052)"
"(-16199.17528, 147447.07591)","(-16199.17528, 147445.75311)"
"(-16199.17528, 147447.07591)","(-16208.79948, 147734.83651)"
"(-16199.17528, 147447.07591)","(-16136.94678, 147594.14871)"
"(-16199.17528, 147447.07591)","(-16169.45507, 147687.01212)"
"(-16199.17528, 147447.07591)","(-16453.70444, 147389.64412)"
"(-16199.17528, 147447.07591)","(-16063.65781, 147519.07052)"
"(-16208.79948, 147734.83651)","(-16199.17528, 147447.07591)"
"(-16208.79948, 147734.83651)","(-16550.03618, 147689.97381)"
"(-16208.79948, 147734.83651)","(-16141.40678, 147958.78931)"
"(-16208.79948, 147734.83651)","(-16169.45507, 147687.01212)"
"(-16208.79948, 147734.83651)","(-16536.90153, 148019.99951)"
"(-16208.79948, 147734.83651)","(-16453.70444, 147389.64412)"
"(-16136.94678, 147594.14871)","(-16199.17528, 147447.07591)"
"(-16136.94678, 147594.14871)","(-16117.36508, 147616.95701)"
"(-16136.94678, 147594.14871)","(-16199.17528, 147445.75311)"
"(-16136.94678, 147594.14871)","(-16169.45507, 147687.01212)"
"(-16136.94678, 147594.14871)","(-16063.65781, 147519.07052)"
"(-16169.45507, 147687.01212)","(-16199.17528, 147447.07591)"
"(-16169.45507, 147687.01212)","(-16117.36508, 147616.95701)"
"(-16169.45507, 147687.01212)","(-16108.13688, 147980.08631)"
"(-16169.45507, 147687.01212)","(-16136.94678, 147594.14871)"
"(-16169.45507, 147687.01212)","(-16208.79948, 147734.83651)"
"(-16169.45507, 147687.01212)","(-16141.40678, 147958.78931)"
"(-16063.65781, 147519.07052)","(-16199.17528, 147447.07591)"
"(-16063.65781, 147519.07052)","(-16136.94678, 147594.14871)"
"(-16063.65781, 147519.07052)","(-16199.17528, 147445.75311)"
"(-17227.10719, 147937.80836)","(-16933.33548, 148076.73781)"
"(-17227.10719, 147937.80836)","(-17352.28718, 147913.28981)"
"(-16972.94048, 148172.16431)","(-16933.33548, 148076.73781)"
"(-16972.94048, 148172.16431)","(-17110.65798, 148246.77701)"
"(-16972.94048, 148172.16431)","(-17701.27618, 147951.16761)"
"(-16972.94048, 148172.16431)","(-16536.90153, 148019.99951)"
"(-17110.65798, 148246.77701)","(-16972.94048, 148172.16431)"
"(-17110.65798, 148246.77701)","(-17167.74978, 148253.94451)"
"(-17110.65798, 148246.77701)","(-16141.40678, 147958.78931)"
"(-17110.65798, 148246.77701)","(-16536.90153, 148019.99951)"
"(-17701.27618, 147951.16761)","(-16972.94048, 148172.16431)"
"(-17701.27618, 147951.16761)","(-17801.24868, 148045.81621)"
"(-17701.27618, 147951.16761)","(-17582.79872, 147850.74011)"
"(-16575.39698, 146694.19711)","(-16569.75478, 146684.06761)"
"(-16575.39698, 146694.19711)","(-16590.82228, 146806.67931)"
"(-16575.39698, 146694.19711)","(-16475.95008, 146686.29951)"
"(-16569.75478, 146684.06761)","(-16575.39698, 146694.19711)"
"(-16569.75478, 146684.06761)","(-16562.20895, 146669.13743)"
"(-16569.75478, 146684.06761)","(-16678.84838, 146610.41981)"
"(-16590.82228, 146806.67931)","(-16575.39698, 146694.19711)"
"(-16590.82228, 146806.67931)","(-16706.20308, 146803.00471)"
"(-16590.82228, 146806.67931)","(-16474.97338, 147055.39671)"
"(-16590.82228, 146806.67931)","(-16586.15807, 146922.24105)"
"(-16475.95008, 146686.29951)","(-16575.39698, 146694.19711)"
"(-16475.95008, 146686.29951)","(-16562.20895, 146669.13743)"
"(-16706.20308, 146803.00471)","(-16713.19748, 146964.71821)"
"(-16706.20308, 146803.00471)","(-16590.82228, 146806.67931)"
"(-16706.20308, 146803.00471)","(-16916.14205, 146725.48911)"
"(-16706.20308, 146803.00471)","(-16586.15807, 146922.24105)"
"(-16586.15807, 146922.24105)","(-16713.19748, 146964.71821)"
"(-16586.15807, 146922.24105)","(-16706.20308, 146803.00471)"
"(-16586.15807, 146922.24105)","(-16677.93398, 146969.59971)"
"(-16586.15807, 146922.24105)","(-16474.97338, 147055.39671)"
"(-16586.15807, 146922.24105)","(-16590.82228, 146806.67931)"
"(-16916.14205, 146725.48911)","(-16706.20308, 146803.00471)"
"(-16916.14205, 146725.48911)","(-17060.84918, 146775.06131)"
"(-17263.23108, 146367.55371)","(-17060.84918, 146775.06131)"
"(-17263.23108, 146367.55371)","(-16678.84838, 146610.41981)"
"(-17060.84918, 146775.06131)","(-17263.23108, 146367.55371)"
"(-17060.84918, 146775.06131)","(-16886.83898, 147107.85721)"
"(-17060.84918, 146775.06131)","(-16916.14205, 146725.48911)"
"(-16678.84838, 146610.41981)","(-17263.23108, 146367.55371)"
"(-16678.84838, 146610.41981)","(-16569.75478, 146684.06761)"
"(-16678.84838, 146610.41981)","(-16693.35238, 146526.28581)"
"(-16672.93748, 147515.18601)","(-16992.0455, 147259.26185)"
"(-16672.93748, 147515.18601)","(-16780.39688, 147276.80341)"
"(-16672.93748, 147515.18601)","(-16550.03618, 147689.97381)"
"(-16672.93748, 147515.18601)","(-16453.70444, 147389.64412)"
"(-16992.0455, 147259.26185)","(-16672.93748, 147515.18601)"
"(-16992.0455, 147259.26185)","(-17000.71498, 147250.08251)"
"(-16117.36508, 147616.95701)","(-16136.94678, 147594.14871)"
"(-16117.36508, 147616.95701)","(-16108.13688, 147980.08631)"
"(-16117.36508, 147616.95701)","(-15832.08658, 147702.69171)"
"(-16117.36508, 147616.95701)","(-16169.45507, 147687.01212)"
"(-16108.13688, 147980.08631)","(-16117.36508, 147616.95701)"
"(-16108.13688, 147980.08631)","(-16141.40678, 147958.78931)"
"(-16108.13688, 147980.08631)","(-16192.06018, 148203.79151)"
"(-16108.13688, 147980.08631)","(-15845.98638, 147921.13071)"
"(-16108.13688, 147980.08631)","(-16169.45507, 147687.01212)"
"(-15832.08658, 147702.69171)","(-16117.36508, 147616.95701)"
"(-15832.08658, 147702.69171)","(-15822.03918, 147774.76111)"
"(-15832.08658, 147702.69171)","(-15773.42573, 147712.74542)"
"(-17352.28718, 147913.28981)","(-17227.10719, 147937.80836)"
"(-17352.28718, 147913.28981)","(-17582.79872, 147850.74011)"
"(-17352.28718, 147913.28981)","(-17089.95265, 147764.77059)"
"(-17582.79872, 147850.74011)","(-17352.28718, 147913.28981)"
"(-17582.79872, 147850.74011)","(-17701.27618, 147951.16761)"
"(-17089.95265, 147764.77059)","(-17352.28718, 147913.28981)"
"(-17089.95265, 147764.77059)","(-17060.50878, 147750.85001)"
"(-16141.40678, 147958.78931)","(-16108.13688, 147980.08631)"
"(-16141.40678, 147958.78931)","(-16208.79948, 147734.83651)"
"(-16141.40678, 147958.78931)","(-17110.65798, 148246.77701)"
"(-16141.40678, 147958.78931)","(-16169.45507, 147687.01212)"
"(-16141.40678, 147958.78931)","(-16536.90153, 148019.99951)"
"(-16192.06018, 148203.79151)","(-16108.13688, 147980.08631)"
"(-16192.06018, 148203.79151)","(-16172.87028, 148309.50001)"
"(-15845.98638, 147921.13071)","(-16108.13688, 147980.08631)"
"(-15845.98638, 147921.13071)","(-15822.03918, 147774.76111)"
"(-15845.98638, 147921.13071)","(-15589.3211, 148200.18474)"
"(-16562.20895, 146669.13743)","(-16475.95008, 146686.29951)"
"(-16562.20895, 146669.13743)","(-16569.75478, 146684.06761)"
"(-15822.03918, 147774.76111)","(-15832.08658, 147702.69171)"
"(-15822.03918, 147774.76111)","(-15845.98638, 147921.13071)"
"(-17199.22307, 148257.80144)","(-17167.74978, 148253.94451)"
"(-17199.22307, 148257.80144)","(-17801.24868, 148045.81621)"
"(-16886.83898, 147107.85721)","(-16869.59727, 147127.88321)"
"(-16886.83898, 147107.85721)","(-17039.64253, 147034.64986)"
"(-16886.83898, 147107.85721)","(-17060.84918, 146775.06131)"
"(-17039.64253, 147034.64986)","(-16886.83898, 147107.85721)"
"(-17039.64253, 147034.64986)","(-17285.92697, 147096.53142)"
"(-16693.35238, 146526.28581)","(-16678.84838, 146610.41981)"
"(-16693.35238, 146526.28581)","(-16315.2348, 146667.68448)"
"(-16315.2348, 146667.68448)","(-16693.35238, 146526.28581)"
"(-16315.2348, 146667.68448)","(-16072.25618, 147118.03921)"
"(-15589.3211, 148200.18474)","(-15845.98638, 147921.13071)"
"(-15589.3211, 148200.18474)","(-16088.69238, 148319.21221)"
"(-17801.24868, 148045.81621)","(-17701.27618, 147951.16761)"
"(-17801.24868, 148045.81621)","(-17199.22307, 148257.80144)"
"(-16088.69238, 148319.21221)","(-16172.87028, 148309.50001)"
"(-16088.69238, 148319.21221)","(-15589.3211, 148200.18474)"
"(-17080.29468, 147710.44067)","(-17433.94138, 147005.35951)"
"(-17080.29468, 147710.44067)","(-17060.50878, 147750.85001)"
